snapshot,F_future,dF,n,F_parity,pct
2026-01-02,7046.75,-17.581050078347715,28,7029.168949921653,-0.24949161071909343
2026-01-05,7091.5,-17.61244457265341,29,7073.887555427346,-0.24835993192770797
2026-01-06,7138.5,-18.096509433957934,29,7120.403490566042,-0.2535057705954743
2026-01-07,7109.75,-17.242072299409696,28,7092.507927700591,-0.24251306022588268
2026-01-08,7110.0,-17.938004012644168,28,7092.061995987356,-0.25229260214689403
2026-01-09,7157.75,-17.420463479309504,28,7140.32953652069,-0.24337904340483396
2026-01-12,7170.5,-17.40995420741163,29,7153.090045792588,-0.2427997239719912
2026-01-13,7155.75,-16.963583524514213,28,7138.786416475486,-0.23706227194234306
2026-01-14,7116.75,-16.715679743194855,29,7100.034320256806,-0.2348779954782008
2026-01-15,7136.75,-17.579585851378145,29,7119.170414148622,-0.24632480963152897
2026-01-16,7132.25,-17.231116215725773,28,7115.018883784274,-0.24159439469628483
2026-01-20,6980.0,-17.252534099560087,28,6962.74746590044,-0.24717097563839666
2026-01-21,7061.0,-16.918810631614754,28,7044.081189368385,-0.2396092710892898
2026-01-22,7101.0,-16.70767924628211,28,7084.292320753718,-0.23528628709029872
2026-01-23,7103.5,-16.76296373574173,28,7086.737036264259,-0.23598175175254074
2026-01-26,7138.0,-16.48627507715507,29,7121.513724922845,-0.2309649072170786
2026-01-27,7163.75,-17.669490738180073,29,7146.08050926182,-0.24665141494580453
2026-01-28,7168.5,-16.53903688005378,29,7151.960963119946,-0.2307182378468826
2026-01-29,7148.0,-16.990953735234832,29,7131.009046264765,-0.23770220670446043
2026-01-30,7121.0,-16.35324221536432,29,7104.646757784636,-0.22964811424468926
2026-02-02,7157.75,-19.235875100647128,28,7138.514124899353,-0.26874192449648465
2026-02-03,7095.5,-16.68962164596616,29,7078.810378354034,-0.23521417301058645
2026-02-04,7059.25,-16.861102198896802,28,7042.388897801103,-0.2388511838920112
2026-02-05,6967.75,-14.216965538731065,27,6953.533034461269,-0.20403954703786825
2026-02-06,7104.75,-16.996988988785077,28,7087.753011011215,-0.2392341600870555
2026-02-09,7134.5,-16.321392790963994,29,7118.178607209036,-0.22876715664677263
2026-02-10,7108.25,-16.336538753549057,28,7091.913461246451,-0.22982504489218947
2026-02-11,7113.0,-17.698127341288526,29,7095.3018726587115,-0.24881382456471987
2026-02-12,6999.25,-16.442224374147035,28,6982.807775625853,-0.23491408899735022
2026-02-13,6996.0,-16.372477172786148,28,6979.627522827213,-0.23402626033142007
2026-02-17,7010.25,-15.560461912805412,28,6994.689538087195,-0.22196728950901057
2026-02-18,7043.75,-15.001025023314037,28,7028.7489749766855,-0.2129692993549464
2026-02-19,7027.25,-15.901360239085928,28,7011.348639760914,-0.2262814079346249
2026-02-20,7073.5,-15.857014819226116,28,7057.642985180774,-0.22417494619673592
2026-02-23,7000.0,-15.190744790756607,28,6984.809255209243,-0.21701063986795155
2026-02-24,7054.5,-15.718566895477569,28,7038.781433104523,-0.2228161725916446
2026-02-25,7111.5,-15.727180114044351,29,7095.772819885956,-0.22115137613786615
2026-02-26,7071.5,-14.136455177953234,28,7057.363544822047,-0.19990744789582457
2026-02-27,7041.75,-14.1141624189069,29,7027.635837581093,-0.20043543748225798
2026-03-02,7041.0,-14.234022202524741,29,7026.765977797475,-0.20215909959557934
2026-03-03,6974.0,-14.135307659033744,28,6959.864692340966,-0.20268579952729773
2026-03-04,7029.25,-14.202990334413649,28,7015.047009665586,-0.20205555833714334
2026-03-05,6986.75,-15.408659890158884,28,6971.341340109841,-0.22054116563722595
2026-03-06,6891.25,-12.069747331185386,27,6879.180252668814,-0.17514597977413945
2026-03-09,6948.75,-13.85517007168577,28,6934.894829928314,-0.19939082671970887
2026-03-10,6936.5,-14.623317755549092,28,6921.876682244451,-0.21081695027101696
2026-03-11,6930.5,-12.479190043006941,28,6918.020809956993,-0.18006190091633995
2026-03-12,6827.25,-13.501863375416448,28,6813.748136624584,-0.19776430298314035
2026-03-13,6783.75,-12.076842481890644,27,6771.673157518109,-0.17802605464368004
2026-03-16,6855.25,-13.077979039237654,28,6842.172020960762,-0.19077318900459728
2026-03-17,6873.0,-13.31645108194622,28,6859.683548918054,-0.19375019761306883
2026-03-18,6779.0,-12.551984742135769,28,6766.448015257864,-0.1851598280297355
2026-03-19,6761.75,-13.099417940097444,27,6748.650582059902,-0.19372822035859716
2026-03-20,6660.75,-9.180976851258588,27,6651.5690231487415,-0.1378369830913724
2026-03-23,6737.0,-11.614580174383471,27,6725.385419825617,-0.17239988384122712
2026-03-24,6710.25,-11.068065085798763,27,6699.1819349142015,-0.1649426636235425
2026-03-25,6743.25,-11.744491316833622,27,6731.505508683166,-0.1741666305836744
2026-03-26,6629.75,-12.359279161265846,26,6617.3907208387345,-0.18642149645561062
2026-03-27,6514.0,-10.261061566895492,26,6503.7389384331045,-0.15752320489554025
